Participant,Order,Condition,Exercise,Reps,Checkpoint,Deviation,Assessment
3,UM,M,BC,3,2,95,94
3,UM,M,BC,4,1,84,88
3,UM,M,BC,4,2,92,88
3,UM,M,BC,5,1,90,92
3,UM,M,BC,5,2,95,92
4,UM,U,RG,1,1,0,0
4,UM,U,RG,1,2,0,0
4,UM,U,RG,1,3,0,0
4,UM,U,RG,1,4,0,0
4,UM,U,RG,1,5,0,0
4,UM,U,RG,1,6,0,0
4,UM,U,RG,2,1,0,0
4,UM,U,RG,2,2,0,0
4,UM,U,RG,2,3,0,0
4,UM,U,RG,2,4,0,0
4,UM,U,RG,2,5,0,0
4,UM,U,RG,2,6,0,0
4,UM,U,RG,3,1,0,0
4,UM,U,RG,3,2,0,0
4,UM,U,RG,3,3,0,0
4,UM,U,RG,3,4,0,0
4,UM,U,RG,3,5,0,0
4,UM,U,RG,3,6,0,0
4,UM,U,RG,4,1,0,0
4,UM,U,RG,4,2,0,0
4,UM,U,RG,4,3,0,0
4,UM,U,RG,4,4,0,0
4,UM,U,RG,4,5,0,0
4,UM,U,RG,4,6,0,0
4,UM,U,RG,5,1,0,0
4,UM,U,RG,5,2,0,0
4,UM,U,RG,5,3,0,0
4,UM,U,RG,5,4,0,0
4,UM,U,RG,5,5,0,0
4,UM,U,RG,5,6,0,0
4,UM,U,BC,1,1,98,95
4,UM,U,BC,1,2,92,95
4,UM,U,BC,2,1,91,91
4,UM,U,BC,2,2,92,91
4,UM,U,BC,3,1,90,91
4,UM,U,BC,3,2,92,91
4,UM,U,BC,4,1,95,93
4,UM,U,BC,4,2,92,93
4,UM,U,BC,5,1,99,95
4,UM,U,BC,5,2,92,95
4,UM,U,SS,1,1,93,91
4,UM,U,SS,1,2,90,91
4,UM,U,SS,2,1,95,92
4,UM,U,SS,2,2,89,92
4,UM,U,SS,3,1,87,91
4,UM,U,SS,3,2,96,91
4,UM,U,SS,4,1,95,90
4,UM,U,SS,4,2,85,90
4,UM,U,SS,5,1,95,91
4,UM,U,SS,5,2,87,91
4,UM,M,SS,1,1,95,97
4,UM,M,SS,1,2,98,97
4,UM,M,SS,2,1,95,98
4,UM,M,SS,2,2,100,98
4,UM,M,SS,3,1,95,96
4,UM,M,SS,3,2,98,96
4,UM,M,SS,4,1,95,97
4,UM,M,SS,4,2,99,97
4,UM,M,SS,5,1,95,97
4,UM,M,SS,5,2,99,97
4,UM,M,RG,1,1,0,0
4,UM,M,RG,1,2,0,0
4,UM,M,RG,1,3,0,0
4,UM,M,RG,1,4,0,0
4,UM,M,RG,1,5,0,0
4,UM,M,RG,1,6,0,0
4,UM,M,RG,2,1,0,0
4,UM,M,RG,2,2,0,0
4,UM,M,RG,2,3,0,0
4,UM,M,RG,2,4,0,0
4,UM,M,RG,2,5,0,0
4,UM,M,RG,2,6,0,0
4,UM,M,RG,3,1,0,0
4,UM,M,RG,3,2,0,0
4,UM,M,RG,3,3,0,0
4,UM,M,RG,3,4,0,0
4,UM,M,RG,3,5,0,0
4,UM,M,RG,3,6,0,0
4,UM,M,RG,4,1,0,0
4,UM,M,RG,4,2,0,0
4,UM,M,RG,4,3,0,0
4,UM,M,RG,4,4,0,0
4,UM,M,RG,4,5,0,0
4,UM,M,RG,4,6,0,0
4,UM,M,RG,5,1,0,0
4,UM,M,RG,5,2,0,0
4,UM,M,RG,5,3,0,0
4,UM,M,RG,5,4,0,0
4,UM,M,RG,5,5,0,0
4,UM,M,RG,5,6,0,0
4,UM,M,BC,1,1,98,96
4,UM,M,BC,1,2,95,96
4,UM,M,BC,2,1,94,96
4,UM,M,BC,2,2,99,96
4,UM,M,BC,3,1,91,95
4,UM,M,BC,3,2,99,95
4,UM,M,BC,4,1,95,95
4,UM,M,BC,4,2,95,95
4,UM,M,BC,5,1,93,96
4,UM,M,BC,5,2,99,96
5,MU,M,RG,1,1,0,0
5,MU,M,RG,1,2,0,0
5,MU,M,RG,1,3,0,0
5,MU,M,RG,1,4,0,0
5,MU,M,RG,1,5,0,0
5,MU,M,RG,1,6,0,0
5,MU,M,RG,2,1,0,0
5,MU,M,RG,2,2,0,0
5,MU,M,RG,2,3,0,0
5,MU,M,RG,2,4,0,0
5,MU,M,RG,2,5,0,0
5,MU,M,RG,2,6,0,0
5,MU,M,RG,3,1,0,0
5,MU,M,RG,3,2,0,0
5,MU,M,RG,3,3,0,0
5,MU,M,RG,3,4,0,0
5,MU,M,RG,3,5,0,0
5,MU,M,RG,3,6,0,0
5,MU,M,RG,4,1,0,0
5,MU,M,RG,4,2,0,0
5,MU,M,RG,4,3,0,0
5,MU,M,RG,4,4,0,0
5,MU,M,RG,4,5,0,0
5,MU,M,RG,4,6,0,0
5,MU,M,RG,5,1,0,0
5,MU,M,RG,5,2,0,0
5,MU,M,RG,5,3,0,0
5,MU,M,RG,5,4,0,0
5,MU,M,RG,5,5,0,0
5,MU,M,RG,5,6,0,0
5,MU,M,BC,1,1,70,81
5,MU,M,BC,1,2,92,81
5,MU,M,BC,2,1,0,0
5,MU,M,BC,2,2,0,0
5,MU,M,BC,3,1,0,0
5,MU,M,BC,3,2,0,0
5,MU,M,BC,4,1,0,0
5,MU,M,BC,4,2,0,0
5,MU,M,BC,5,1,0,0
5,MU,M,BC,5,2,0,0
5,MU,M,SS,1,1,97,93
5,MU,M,SS,1,2,90,93
5,MU,M,SS,2,1,97,92
5,MU,M,SS,2,2,88,92
5,MU,M,SS,3,1,97,92
5,MU,M,SS,3,2,86,92
5,MU,M,SS,4,1,97,91
5,MU,M,SS,4,2,85,91
5,MU,M,SS,5,1,97,91
5,MU,M,SS,5,2,84,91
5,MU,U,SS,1,1,0,0
5,MU,U,SS,1,2,0,0
5,MU,U,SS,2,1,0,0
5,MU,U,SS,2,2,0,0
5,MU,U,SS,3,1,0,0
5,MU,U,SS,3,2,0,0
5,MU,U,SS,4,1,0,0
5,MU,U,SS,4,2,0,0
5,MU,U,SS,5,1,0,0
5,MU,U,SS,5,2,0,0
5,MU,U,BC,1,1,0,0
5,MU,U,BC,1,2,0,0
5,MU,U,BC,2,1,0,0
5,MU,U,BC,2,2,0,0
5,MU,U,BC,3,1,0,0
5,MU,U,BC,3,2,0,0
5,MU,U,BC,4,1,0,0
5,MU,U,BC,4,2,0,0
5,MU,U,BC,5,1,0,0
5,MU,U,BC,5,2,0,0
5,MU,U,RG,1,1,0,0
5,MU,U,RG,1,2,0,0
5,MU,U,RG,1,3,0,0
5,MU,U,RG,1,4,0,0
5,MU,U,RG,1,5,0,0
5,MU,U,RG,1,6,0,0
5,MU,U,RG,2,1,0,0
5,MU,U,RG,2,2,0,0
5,MU,U,RG,2,3,0,0
5,MU,U,RG,2,4,0,0
5,MU,U,RG,2,5,0,0
5,MU,U,RG,2,6,0,0
5,MU,U,RG,3,1,0,0
5,MU,U,RG,3,2,0,0
5,MU,U,RG,3,3,0,0
5,MU,U,RG,3,4,0,0
5,MU,U,RG,3,5,0,0
5,MU,U,RG,3,6,0,0
5,MU,U,RG,4,1,0,0
5,MU,U,RG,4,2,0,0
5,MU,U,RG,4,3,0,0
5,MU,U,RG,4,4,0,0
5,MU,U,RG,4,5,0,0
5,MU,U,RG,4,6,0,0
5,MU,U,RG,5,1,0,0
5,MU,U,RG,5,2,0,0
5,MU,U,RG,5,3,0,0
5,MU,U,RG,5,4,0,0
5,MU,U,RG,5,5,0,0
5,MU,U,RG,5,6,0,0
6,MU,M,RG,1,1,83,87
6,MU,M,RG,1,2,92,87
6,MU,M,RG,1,3,98,87
6,MU,M,RG,1,4,76,87
6,MU,M,RG,1,5,90,87
6,MU,M,RG,1,6,82,87
6,MU,M,RG,2,1,58,90
6,MU,M,RG,2,2,92,90
6,MU,M,RG,2,3,92,90
6,MU,M,RG,2,4,92,90
6,MU,M,RG,2,5,99,90
6,MU,M,RG,2,6,92,90
6,MU,M,RG,3,1,83,88
6,MU,M,RG,3,2,87,88
6,MU,M,RG,3,3,84,88
6,MU,M,RG,3,4,87,88
6,MU,M,RG,3,5,95,88
6,MU,M,RG,3,6,96,88
6,MU,M,RG,4,1,79,91
6,MU,M,RG,4,2,92,91
6,MU,M,RG,4,3,83,91
6,MU,M,RG,4,4,95,91
6,MU,M,RG,4,5,93,91
6,MU,M,RG,4,6,96,91
